Client_No,Branch,Gender,D.O.B,Segment,Nationality,JoinDate,Last_transn
2386,AGENCE DE BENIN            ,M,1/1/1994,RETAIL                        ,RW,11/21/2016,6/27/2019
2387,AGENCE DE BENIN            ,M,1/1/1989,RETAIL                        ,RW,10/31/2017,7/11/2019
2388,AGENCE DE BENIN            ,M,1/1/1995,RETAIL                        ,RW,12/10/2018,1/29/2019
2389,AGENCE DE BENIN            ,F,9/27/1973,RETAIL                        ,RW,12/12/2018,6/19/2019
2390,AGENCE DE BENIN            ,M,11/9/1993,RETAIL                        ,RW,3/27/2019,7/11/2019
2391,AGENCE DE BENIN            ,M,1/1/1978,RETAIL                        ,RW,8/4/2015,4/26/2018
2392,AGENCE DE BENIN            ,M,1/1/1992,RETAIL                        ,RW,11/23/2017,7/11/2019
2393,AGENCE DE BENIN            ,M,5/28/1990,RETAIL                        ,ZW,5/29/2017,7/8/2019
2394,AGENCE DE BENIN            ,M,1/1/1993,RETAIL                        ,RW,2/28/2018,7/1/2019
2395,AGENCE DE BENIN            ,F,1/1/1993,RETAIL                        ,RW,12/9/2013,6/12/2014
2396,AGENCE DE BENIN            ,F,2/27/2001,RETAIL                        ,IN,5/6/2019,5/16/2019
2397,AGENCE DE BENIN            ,F,9/3/1994,RETAIL                        ,RW,10/28/2016,7/15/2019
2398,AGENCE DE BENIN            ,M,1/1/1982,RETAIL                        ,RW,8/28/2018,2/27/2019
2399,AGENCE DE BENIN            ,M,5/16/2018,RETAIL                        ,RW,11/16/2018,6/21/2019
2400,AGENCE DE BENIN            ,M,8/23/1953,RETAIL                        ,RW,4/15/2013,1/5/2016
2401,AGENCE DE BENIN            ,M,2/26/1987,RETAIL                        ,RW,4/3/2019,7/10/2019
2402,AGENCE DE BENIN            ,C,1/1/1900,RETAIL                        ,RW,8/20/2015,4/17/2019
2403,AGENCE DE BENIN            ,F,11/6/1993,RETAIL                        ,US,9/12/2018,7/15/2019
2404,AGENCE DE BENIN            ,F,11/29/1979,RETAIL                        ,RW,12/14/2015,6/27/2017
2405,AGENCE DE BENIN            ,F,4/6/1987,RETAIL                        ,RW,8/30/2018,7/9/2019
2406,AGENCE DE BENIN            ,F,3/2/1984,RETAIL                        ,RW,7/14/2014,2/16/2017
2407,AGENCE DE BENIN            ,M,8/16/1955,RETAIL                        ,OM,12/6/2016,7/12/2019
2408,AGENCE DE BENIN            ,C,1/1/1900,RETAIL                        ,RW,3/21/2013,7/15/2019
2409,AGENCE DE BENIN            ,F,1/8/1995,RETAIL                        ,RW,10/24/2017,7/1/2019
2410,AGENCE DE BENIN            ,M,2/1/1995,RETAIL                        ,RW,5/27/2019,7/2/2019
2411,AGENCE DE BENIN            ,C,1/1/1900,RETAIL                        ,RW,1/2/2013,4/4/2016
2412,AGENCE DE BENIN            ,F,1/1/1988,RETAIL                        ,RW,9/28/2017,3/1/2019
2413,AGENCE DE BENIN            ,M,1/1/1994,RETAIL                        ,RW,7/5/2017,4/10/2018
2414,AGENCE DE BENIN            ,M,11/25/1988,SMEs-Small& medium enterp-CORP,RW,10/23/2017,7/5/2019
2415,AGENCE DE BENIN            ,M,1/1/1988,RETAIL                        ,RW,12/5/2018,1/1/1900
2416,AGENCE DE BENIN            ,C,1/1/1900,RETAIL                        ,RW,12/10/2013,6/2/2016
2417,AGENCE DE BENIN            ,M,12/24/1960,RETAIL                        ,CN,11/22/2012,5/13/2019
2418,AGENCE DE BENIN            ,F,10/11/1985,SMEs-Small& medium enterp-CORP,RW,11/9/2016,4/24/2019
2419,AGENCE DE BENIN            ,M,5/5/1974,RETAIL                        ,RW,3/13/2014,1/22/2019
2420,AGENCE DE BENIN            ,M,9/13/1962,SMEs-Small& medium enterp-CORP,RW,8/8/2014,5/31/2017
2421,AGENCE DE BENIN            ,M,1/1/1980,SMEs-Small& medium enterp-CORP,RW,5/13/2013,10/20/2014
2422,AGENCE DE BENIN            ,M,1/1/1995,SMEs-Small& medium enterp-CORP,RW,4/17/2018,7/12/2019
2423,AGENCE DE BENIN            ,M,1/1/1970,SMEs-Small& medium enterp-CORP,RW,11/13/2017,1/5/2018
2424,AGENCE DE BENIN            ,F,1/1/1967,SMEs-Small& medium enterp-CORP,RW,3/20/2019,1/1/1900
2425,AGENCE DE BENIN            ,M,5/25/1975,RETAIL                        ,IN,7/17/2018,5/28/2019
2426,AGENCE DE BENIN            ,M,1/1/1985,SMEs-Small& medium enterp-CORP,RW,1/18/2016,1/2/2017
2427,AGENCE DE BENIN            ,M,1/1/1994,CORPORATE                     ,RW,5/30/2018,1/1/1900
2428,AGENCE DE BENIN            ,M,1/1/1996,RETAIL                        ,RW,1/25/2019,3/28/2019
2429,AGENCE DE BENIN            ,M,9/30/1993,SMEs-Small& medium enterp-CORP,RW,2/28/2019,7/12/2019
2430,AGENCE DE BENIN            ,M,1/1/1990,RETAIL                        ,RW,12/20/2018,7/3/2019
2431,AGENCE DE BENIN            ,F,7/25/1969,SMEs-Small& medium enterp-CORP,RW,3/12/2014,11/27/2015
2432,AGENCE DE BENIN            ,F,9/15/1991,SMEs-Small& medium enterp-CORP,RW,5/8/2013,6/28/2019
2433,AGENCE DE BENIN            ,M,5/6/1975,SMEs-Small& medium enterp-CORP,RW,9/28/2012,9/27/2013
2434,AGENCE DE BENIN            ,F,1/1/1985,SMEs-Small& medium enterp-CORP,RW,1/11/2019,3/14/2019
2435,AGENCE DE BENIN            ,M,1/1/1987,SMEs-Small& medium enterp-CORP,RW,1/7/2014,11/27/2015
2436,AGENCE DE BENIN            ,M,1/1/1991,RETAIL                        ,RW,11/2/2017,7/9/2019
2437,AGENCE DE BENIN            ,F,7/4/1995,RETAIL                        ,RW,7/8/2019,7/15/2019
2438,AGENCE DE BENIN            ,F,1/1/1961,RETAIL                        ,RW,4/22/2013,6/30/2014
2439,AGENCE DE BENIN            ,F,12/27/1964,RETAIL                        ,RW,3/20/2015,7/8/2019
2440,AGENCE DE BENIN            ,F,1/1/1991,MICRO ENTERPRISES             ,RW,12/6/2017,2/5/2018
2441,AGENCE DE BENIN            ,F,1/1/1959,MICRO ENTERPRISES             ,RW,6/29/2012,1/21/2016
2442,AGENCE DE BENIN            ,F,4/5/1996,MICRO ENTERPRISES             ,RW,3/7/2019,7/15/2019
2443,AGENCE DE NIGERIA            ,F,1/1/1988,RETAIL                        ,RW,3/22/2019,5/31/2019
2444,AGENCE DE NIGERIA            ,M,6/15/1984,SMEs-Small& medium enterp-CORP,RW,7/20/2012,1/21/2016
2445,AGENCE DE NIGERIA            ,M,10/10/1990,RETAIL                        ,RW,9/17/2012,1/21/2016
2446,AGENCE DE NIGERIA            ,M,4/25/1992,RETAIL                        ,RW,7/20/2012,2/7/2017
2447,AGENCE DE NIGERIA            ,M,12/16/1982,SMEs-Small& medium enterp-CORP,RW,11/13/2012,11/27/2015
2448,AGENCE DE NIGERIA            ,M,10/9/1998,RETAIL                        ,RW,7/30/2018,12/10/2018
2449,AGENCE DE NIGERIA            ,F,12/14/1994,SMEs-Small& medium enterp-CORP,KE,3/22/2019,7/15/2019
2450,AGENCE DE NIGERIA            ,M,8/15/1991,RETAIL                        ,RW,1/15/2013,7/15/2019
2451,AGENCE DE NIGERIA            ,M,11/4/1999,RETAIL                        ,RW,1/8/2019,5/24/2019
2452,AGENCE DE NIGERIA            ,M,1/1/1988,RETAIL                        ,RW,10/25/2017,8/20/2018
2453,AGENCE DE NIGERIA            ,F,1/1/1988,RETAIL                        ,RW,10/7/2013,2/26/2014
2454,AGENCE DE NIGERIA            ,F,1/1/1988,RETAIL                        ,RW,10/8/2012,10/10/2016
2455,AGENCE DE NIGERIA            ,F,12/25/1975,RETAIL                        ,RW,9/27/2018,7/1/2019
2456,AGENCE DE NIGERIA            ,M,6/1/1996,RETAIL                        ,RW,4/17/2018,7/5/2019
2457,AGENCE DE NIGERIA            ,M,7/7/1994,RETAIL                        ,RW,10/17/2018,7/15/2019
2458,AGENCE DE NIGERIA            ,M,1/21/1994,RETAIL                        ,RW,11/30/2017,1/10/2018
2459,AGENCE DE NIGERIA            ,M,1/26/1969,RETAIL                        ,RW,9/24/2012,7/15/2019
2460,AGENCE DE NIGERIA            ,M,1/1/1975,RETAIL                        ,RW,11/4/2013,12/29/2015
2461,AGENCE DE NIGERIA            ,C,1/1/1900,RETAIL                        ,RW,7/9/2015,6/26/2019
2462,AGENCE DE NIGERIA            ,C,1/1/1900,RETAIL                        ,RW,7/26/2012,5/7/2019
2463,AGENCE DE NIGERIA            ,M,7/10/1994,RETAIL                        ,RW,11/30/2017,1/15/2018
2464,AGENCE DE NIGERIA            ,M,12/3/1984,RETAIL                        ,RW,7/31/2012,7/1/2019
2465,AGENCE DE NIGERIA            ,M,1/1/1990,RETAIL                        ,RW,4/17/2018,6/28/2019
2466,AGENCE DE NIGERIA            ,M,11/15/1949,RETAIL                        ,RW,5/27/2013,7/15/2019
2467,AGENCE DE NIGERIA            ,M,7/27/1965,RETAIL                        ,RW,5/20/2013,1/21/2016
2468,AGENCE DE NIGERIA            ,C,1/1/1900,RETAIL                        ,RW,1/18/2019,6/28/2019
2469,AGENCE DE NIGERIA            ,F,8/27/1990,RETAIL                        ,RW,11/29/2016,6/4/2019
2470,AGENCE DE NIGERIA            ,F,1/1/1983,RETAIL                        ,RW,5/4/2017,7/9/2019
2471,AGENCE DE NIGERIA            ,M,6/12/1979,SMEs-Small& medium enterp-CORP,RW,11/1/2017,7/15/2019
2472,AGENCE DE NIGERIA            ,M,1/1/1996,SMEs-Small& medium enterp-CORP,RW,7/25/2018,6/11/2019
2473,AGENCE DE NIGERIA            ,F,11/7/1988,SMEs-Small& medium enterp-CORP,RW,10/27/2014,7/1/2019
2474,AGENCE DE NIGERIA            ,F,4/12/1984,SMEs-Small& medium enterp-CORP,RW,2/27/2019,7/12/2019
2475,AGENCE DE NIGERIA            ,F,4/20/1986,RETAIL                        ,RW,12/14/2015,3/21/2016
2476,AGENCE DE NIGERIA            ,M,9/23/1987,SMEs-Small& medium enterp-CORP,RW,11/23/2015,3/6/2019
2477,AGENCE DE NIGERIA            ,M,1/1/1991,SMEs-Small& medium enterp-CORP,RW,1/17/2013,3/30/2017
2478,AGENCE DE NIGERIA            ,M,1/1/1977,SMEs-Small& medium enterp-CORP,RW,11/13/2017,1/8/2018
2479,AGENCE DE NIGERIA            ,F,1/1/1992,SMEs-Small& medium enterp-CORP,RW,9/3/2018,7/15/2019
2480,AGENCE DE NIGERIA            ,M,9/11/1977,RETAIL                        ,RW,9/11/2012,1/21/2016
2481,AGENCE DE NIGERIA            ,F,1/1/1984,RETAIL                        ,RW,7/8/2014,5/28/2015
2482,AGENCE DU GABO                ,M,1/1/2000,MICRO ENTERPRISES             ,RW,1/18/2019,3/15/2019
2483,AGENCE DU GABO                ,M,1/1/1995,RETAIL                        ,RW,8/1/2016,6/21/2019
2484,AGENCE DU GABO                ,M,1/1/1987,RETAIL                        ,RW,9/28/2018,11/29/2018
2485,AGENCE DU GABO                ,F,4/22/1984,RETAIL                        ,UG,5/27/2014,7/15/2019
2486,AGENCE DU GABO                ,M,12/24/1976,RETAIL                        ,RW,9/3/2012,10/10/2016
2487,AGENCE DU GABO                ,M,6/6/1967,RETAIL                        ,RW,9/22/2014,1/2/2017
2488,AGENCE DU GABO                ,F,10/1/1990,RETAIL                        ,RW,7/18/2012,9/27/2013
2489,AGENCE DU GABO                ,M,1/24/1988,RETAIL                        ,RW,8/10/2012,9/27/2013
2490,AGENCE DU GABO                ,M,12/26/1975,RETAIL                        ,RW,5/30/2018,4/29/2019
2491,AGENCE DU GABO                ,F,7/20/1972,RETAIL                        ,KR,4/1/2014,7/11/2019
2492,AGENCE DU GABO                ,M,1/1/1981,RETAIL                        ,RW,10/9/2012,5/5/2016
2493,AGENCE DU GABO                ,F,7/18/1996,RETAIL                        ,RW,2/21/2017,1/29/2019
2494,AGENCE DU GABO                ,M,11/9/1979,RETAIL                        ,RW,5/19/2014,10/10/2016
2495,AGENCE DU GABO                ,F,2/18/1978,RETAIL                        ,RW,10/29/2018,6/4/2019
2496,AGENCE DU GABO                ,C,1/1/1900,RETAIL                        ,RW,9/9/2013,6/19/2017
2497,AGENCE DU GABO                ,C,1/1/1900,RETAIL                        ,RW,1/4/2018,6/27/2019
2498,AGENCE DU GABO                ,M,2/8/1990,RETAIL                        ,RW,2/23/2016,7/15/2019
2499,AGENCE DU GABO                ,M,10/2/1979,RETAIL                        ,RW,7/23/2018,7/27/2018
2500,AGENCE DU GABO                ,M,1/1/1996,RETAIL                        ,RW,11/1/2018,4/29/2019
2501,AGENCE DU GABO                ,F,4/22/1986,RETAIL                        ,RW,7/31/2013,9/30/2014
2502,AGENCE DU GABO                ,M,1/1/1992,RETAIL                        ,RW,8/1/2016,9/26/2016
2503,AGENCE DU GABO                ,F,8/1/1989,RETAIL                        ,RW,8/14/2012,7/9/2019
2504,AGENCE DU GABO                ,M,3/25/1991,RETAIL                        ,RW,4/21/2015,5/20/2019
2505,AGENCE DU GABO                ,M,1/1/1985,RETAIL                        ,RW,11/30/2017,3/16/2018
2506,AGENCE DU GABO                ,F,11/10/2016,RETAIL                        ,RW,3/8/2018,3/21/2019
2507,AGENCE DU GABO                ,M,1/2/1980,RETAIL                        ,ZW,6/3/2019,7/5/2019
2508,AGENCE DU GABO                ,M,1/1/1992,RETAIL                        ,RW,8/8/2016,11/8/2016
2509,AGENCE DU GABO                ,M,7/29/1989,RETAIL                        ,GB,10/15/2012,7/15/2019
2510,AGENCE DU GABO                ,M,4/6/1992,RETAIL                        ,RW,9/24/2012,9/27/2013
2511,AGENCE DU GABO                ,M,2/25/1996,RETAIL                        ,RW,6/18/2019,6/21/2019
2512,AGENCE DU GABO                ,M,1/1/1993,RETAIL                        ,RW,10/9/2018,7/15/2019
2513,AGENCE DU GABO                ,M,9/8/1979,RETAIL                        ,RW,12/19/2013,6/5/2019
2514,AGENCE DU GABO                ,M,1/1/1992,RETAIL                        ,RW,11/27/2017,7/8/2019
2515,AGENCE DU GABO                ,F,3/13/1981,RETAIL                        ,RW,1/16/2014,7/15/2019
2516,AGENCE DU GABO                ,F,8/19/1998,RETAIL                        ,RW,4/13/2016,7/15/2019
2517,AGENCE DU GABO                ,M,1/1/1996,RETAIL                        ,RW,12/3/2018,7/15/2019
2518,AGENCE DU GABO                ,F,7/2/1986,RETAIL                        ,RW,2/27/2015,7/12/2019
2519,AGENCE DU GABO                ,M,1/1/1988,RETAIL                        ,RW,10/31/2013,2/26/2014
2520,AGENCE DU GABO                ,M,1/1/1989,RETAIL                        ,RW,12/3/2018,1/7/2019
2521,AGENCE DU GABO                ,M,3/21/1997,RETAIL                        ,RW,7/12/2017,8/14/2017
2522,AGENCE DU GABO                ,M,10/31/1956,RETAIL                        ,US,6/20/2018,6/20/2018
2523,AGENCE DU GABO                ,M,7/19/1979,RETAIL                        ,ET,10/24/2018,7/3/2019
2524,AGENCE DU GABO                ,M,1/1/1991,RETAIL                        ,RW,6/21/2018,7/3/2019
2525,AGENCE DU GABO                ,C,1/1/1900,RETAIL                        ,RW,7/24/2015,5/3/2016
2526,AGENCE DU GABO                ,F,2/22/1997,RETAIL                        ,RW,5/23/2018,7/8/2019
2527,AGENCE DU GABO                ,M,1/1/1964,RETAIL                        ,RW,3/16/2015,6/21/2019
2528,AGENCE DU GABO                ,F,1/1/1984,RETAIL                        ,RW,11/2/2017,7/8/2019
2529,AGENCE DU GABO                ,M,9/23/2001,RETAIL                        ,RW,12/27/2017,6/27/2019
2530,AGENCE DU GABO                ,F,1/1/1984,RETAIL                        ,RW,11/21/2018,7/1/2019
2531,AGENCE DU GABO                ,F,1/1/1982,RETAIL                        ,RW,4/1/2019,6/25/2019
2532,AGENCE DU GABO                ,M,1/1/1991,RETAIL                        ,RW,8/1/2016,11/22/2018
2533,AGENCE DU GABO                ,M,3/7/1970,RETAIL                        ,CG,7/17/2015,6/21/2019
2534,AGENCE DU GABO                ,C,1/1/1900,RETAIL                        ,RW,3/29/2016,8/3/2016
2535,AGENCE DU GABO                ,M,1/1/1994,RETAIL                        ,RW,7/16/2014,11/9/2015
2536,AGENCE TANZANIE           ,M,4/18/1984,SMEs-Small& medium enterp-CORP,RW,3/23/2015,7/30/2015
2537,AGENCE TANZANIE           ,F,1/1/1990,SMEs-Small& medium enterp-CORP,RW,8/8/2016,5/15/2017
2538,AGENCE TANZANIE           ,M,12/2/1996,RETAIL                        ,RW,10/25/2017,11/27/2017
2539,AGENCE TANZANIE           ,M,1/1/1984,RETAIL                        ,RW,9/20/2012,11/27/2015
2540,AGENCE TANZANIE           ,M,8/5/1984,RETAIL                        ,RW,9/11/2012,10/31/2018
2541,AGENCE TANZANIE           ,M,5/10/1986,SMEs-Small& medium enterp-CORP,RW,11/22/2017,7/5/2019
2542,AGENCE TANZANIE           ,M,4/19/1992,SMEs-Small& medium enterp-CORP,RW,11/22/2017,7/12/2019
2543,AGENCE TANZANIE           ,M,10/10/1988,SMEs-Small& medium enterp-CORP,RW,10/31/2013,2/26/2014
2544,AGENCE TANZANIE           ,M,6/6/1992,NON BUSINESS ACTIVITIES-CORPOR,RW,5/19/2015,3/2/2017
2545,AGENCE TANZANIE           ,C,1/1/1900,CORPORATE                     ,RW,9/7/2017,2/27/2018
2546,AGENCE TANZANIE           ,M,11/12/1980,CORPORATE                     ,RW,3/1/2018,3/2/2018
2547,AGENCE TANZANIE           ,M,1/1/1994,SMEs-Small& medium enterp-CORP,RW,9/25/2018,11/28/2018
2548,AGENCE TANZANIE           ,M,1/1/1974,SMEs-Small& medium enterp-CORP,RW,8/1/2016,1/4/2019
2549,AGENCE TANZANIE           ,F,6/23/1982,SMEs-Small& medium enterp-CORP,RW,7/3/2018,4/15/2019
2550,AGENCE TANZANIE           ,C,1/1/1900,NON BUSINESS ACTIVITIES-CORPOR,RW,7/9/2013,6/24/2019
2551,AGENCE TANZANIE           ,F,1/26/1996,CORPORATE                     ,RW,10/17/2018,7/15/2019
2552,AGENCE TANZANIE           ,F,2/16/1984,SMEs-Small& medium enterp-CORP,RW,12/11/2017,7/15/2019
2553,AGENCE TANZANIE           ,M,1/1/1994,SMEs-Small& medium enterp-CORP,RW,10/26/2018,6/27/2019
2554,AGENCE TANZANIE           ,C,1/1/1900,SMEs-Small& medium enterp-CORP,RW,9/20/2018,9/20/2018
2555,AGENCE TANZANIE           ,C,1/1/1900,RETAIL                        ,RW,3/29/2019,7/2/2019
2556,AGENCE TANZANIE           ,F,1/1/1974,RETAIL                        ,RW,8/30/2012,2/26/2014
2557,AGENCE TANZANIE           ,F,7/26/1986,NON BUSINESS ACTIVITIES-CORPOR,RW,1/18/2013,7/15/2019
2558,AGENCE TANZANIE           ,C,1/1/1900,RETAIL                        ,RW,3/1/2018,7/8/2019
2559,AGENCE TANZANIE           ,M,6/6/1990,RETAIL                        ,RW,5/29/2018,1/1/1900
2560,AGENCE TANZANIE           ,M,1/1/1975,RETAIL                        ,RW,6/14/2017,7/2/2019
2561,AGENCE TANZANIE           ,F,1/1/1990,RETAIL                        ,RW,12/21/2012,3/30/2017
2562,AGENCE TANZANIE           ,F,5/2/1989,RETAIL                        ,RW,1/10/2013,7/15/2019
2563,AGENCE TANZANIE           ,M,3/10/1996,RETAIL                        ,RW,12/19/2017,6/12/2019
2564,AGENCE TANZANIE           ,M,5/2/1988,RETAIL                        ,RW,11/23/2017,8/20/2018
2565,AGENCE TANZANIE           ,M,2/15/1994,RETAIL                        ,RW,9/3/2018,11/13/2018
2566,AGENCE TANZANIE           ,C,1/1/1900,RETAIL                        ,RW,6/17/2013,7/14/2014
2567,AGENCE TANZANIE           ,M,9/28/1983,RETAIL                        ,RW,12/5/2012,7/11/2019
2568,AGENCE TANZANIE           ,F,4/25/1969,RETAIL                        ,RW,9/20/2013,3/13/2018
2569,AGENCE TANZANIE           ,F,1/1/1990,RETAIL                        ,RW,3/1/2013,8/23/2016
2570,AGENCE TANZANIE           ,M,1/1/1990,SMEs-Small& medium enterp-CORP,RW,1/3/2019,5/13/2019
2571,AGENCE TANZANIE           ,M,6/3/1985,RETAIL                        ,RW,1/6/2014,11/27/2015
2572,AGENCE TANZANIE           ,F,7/4/1999,RETAIL                        ,RW,6/6/2018,10/18/2018
2573,AGENCE TANZANIE           ,M,1/1/1969,RETAIL                        ,RW,9/11/2012,1/21/2016
2574,AGENCE TANZANIE           ,F,9/16/1985,RETAIL                        ,RW,6/20/2013,11/27/2015
2575,AGENCE TANZANIE           ,M,10/25/1990,RETAIL                        ,RW,7/28/2016,7/15/2019
2576,AGENCE TANZANIE           ,F,1/11/1992,RETAIL                        ,RW,5/30/2017,5/30/2017
2577,AGENCE TANZANIE           ,M,8/7/1993,RETAIL                        ,RW,7/18/2016,3/13/2017
2578,AGENCE TANZANIE           ,M,8/28/1989,RETAIL                        ,RW,3/28/2017,7/31/2017
2579,AGENCE TANZANIE           ,M,1/1/1994,RETAIL                        ,RW,7/24/2018,1/23/2019
2580,AGENCE TANZANIE           ,F,1/1/1987,RETAIL                        ,RW,10/16/2018,7/10/2019
2581,AGENCE TANZANIE           ,F,1/3/1981,RETAIL                        ,RW,10/7/2014,6/25/2018
2582,AGENCE TANZANIE           ,M,12/22/1994,RETAIL                        ,RW,1/11/2018,6/5/2019
2583,AGENCE TANZANIE           ,M,1/1/1990,RETAIL                        ,RW,12/28/2017,2/25/2019
2584,AGENCE TANZANIE           ,M,7/1/1989,RETAIL                        ,RW,6/12/2014,7/8/2019
2585,AGENCE TANZANIE           ,M,6/24/1974,RETAIL                        ,RW,8/16/2018,10/15/2018
2586,AGENCE TANZANIE           ,M,9/13/1973,SMEs-Small& medium enterp-CORP,RW,4/19/2017,3/21/2018
2587,AGENCE TANZANIE           ,F,5/15/1991,SMEs-Small& medium enterp-CORP,RW,4/1/2013,7/12/2019
2588,AGENCE TANZANIE           ,M,10/21/1988,NON BUSINESS ACTIVITIES-CORPOR,RW,2/24/2015,7/1/2019
2589,AGENCE TANZANIE           ,C,1/1/1900,NON BUSINESS ACTIVITIES-CORPOR,RW,11/21/2018,2/14/2019
2590,AGENCE TANZANIE           ,F,4/4/2017,RETAIL                        ,RW,10/9/2017,12/26/2017
2591,AGENCE TANZANIE           ,M,12/6/1985,RETAIL                        ,RW,11/3/2016,12/7/2016
2592,AGENCE TANZANIE           ,M,11/15/1993,RETAIL                        ,RW,12/19/2013,1/5/2016
2593,AGENCE TANZANIE           ,M,1/1/1997,RETAIL                        ,RW,4/11/2018,4/8/2019
2594,AGENCE TANZANIE           ,F,5/25/1987,RETAIL                        ,RW,9/17/2012,1/21/2016
2595,AGENCE TANZANIE           ,M,1/1/1952,RETAIL                        ,RW,5/17/2016,7/3/2019
2596,AGENCE TANZANIE           ,M,1/1/1982,RETAIL                        ,RW,9/11/2012,7/15/2019
2597,AGENCE TANZANIE           ,M,1/1/1990,RETAIL                        ,RW,3/27/2013,5/8/2019
2598,AGENCE TANZANIE           ,M,7/11/1957,RETAIL                        ,KP,2/7/2019,7/15/2019
2599,AGENCE TANZANIE           ,C,1/1/1900,RETAIL                        ,RW,1/21/2019,7/10/2019
2600,AGENCE TANZANIE           ,F,1/1/1986,RETAIL                        ,RW,4/16/2013,6/30/2014
2601,AGENCE TANZANIE           ,M,8/27/1976,RETAIL                        ,RW,7/27/2018,5/31/2019
2602,AGENCE TANZANIE           ,C,1/1/1900,RETAIL                        ,RW,10/16/2013,11/27/2015
2603,AGENCE TANZANIE           ,M,2/15/1990,RETAIL                        ,RW,2/15/2019,6/24/2019
2604,AGENCE TANZANIE           ,M,1/1/1992,RETAIL                        ,RW,8/14/2018,1/1/1900
2605,AGENCE TANZANIE           ,F,2/9/2004,RETAIL                        ,RW,6/19/2017,6/19/2017
2606,AGENCE TANZANIE           ,F,4/5/1982,SMEs-Small& medium enterp-CORP,RW,9/17/2012,7/15/2019
2607,AGENCE TANZANIE           ,F,1/1/1989,RETAIL                        ,RW,12/11/2012,1/9/2017
2608,AGENCE TANZANIE           ,F,6/9/1972,SMEs-Small& medium enterp-CORP,US,10/3/2017,2/18/2019
2609,AGENCE TANZANIE           ,M,1/1/1996,SMEs-Small& medium enterp-CORP,RW,3/22/2019,7/15/2019
2610,AGENCE TANZANIE           ,M,1/1/1982,RETAIL                        ,RW,4/4/2017,8/1/2017
2611,AGENCE TANZANIE           ,C,1/1/1900,RETAIL                        ,RW,12/6/2017,1/14/2019
2612,AGENCE TANZANIE           ,C,1/1/1900,RETAIL                        ,RW,4/13/2017,7/12/2019
2613,AGENCE TANZANIE           ,M,1/1/1992,RETAIL                        ,RW,3/14/2019,4/1/2019
2614,AGENCE TANZANIE           ,C,1/1/1900,RETAIL                        ,RW,7/30/2018,7/30/2018
2615,AGENCE TANZANIE           ,M,1/1/1996,RETAIL                        ,RW,7/25/2016,12/30/2016
2616,AGENCE TANZANIE           ,M,4/19/1995,RETAIL                        ,RW,2/2/2018,3/16/2018
2617,AGENCE TANZANIE           ,M,1/1/1973,RETAIL                        ,RW,1/13/2015,5/12/2015
2618,AGENCE TANZANIE           ,M,12/12/1986,RETAIL                        ,RW,8/1/2016,10/24/2016
2619,AGENCE TANZANIE           ,F,7/6/1991,RETAIL                        ,KE,9/28/2018,4/3/2019
2620,AGENCE TANZANIE           ,M,1/1/1969,RETAIL                        ,RW,10/15/2013,7/1/2019
2621,AGENCE TANZANIE           ,M,2/15/1988,RETAIL                        ,RW,10/27/2014,7/12/2019
2622,AGENCE TANZANIE           ,M,1/1/1977,RETAIL                        ,RW,3/11/2013,2/23/2017
2623,AGENCE TANZANIE           ,M,7/27/1981,RETAIL                        ,RW,11/19/2015,3/4/2019
2624,AGENCE TANZANIE           ,F,1/1/1999,RETAIL                        ,RW,8/28/2018,7/3/2019
2625,AGENCE TANZANIE           ,M,1/1/1997,RETAIL                        ,RW,8/1/2016,1/1/1900
2626,AGENCE TANZANIE           ,M,1/1/1900,RETAIL                        ,RW,5/24/2013,6/30/2014
2627,AGENCE TANZANIE           ,M,1/1/1974,RETAIL                        ,RW,12/27/2013,6/13/2019
2628,AGENCE TANZANIE           ,M,1/1/1997,RETAIL                        ,RW,8/3/2016,5/16/2017
2629,AGENCE TANZANIE           ,C,1/1/1900,RETAIL                        ,RW,6/24/2016,2/28/2018
2630,AGENCE TANZANIE           ,F,2/15/2000,RETAIL                        ,RW,5/29/2019,7/8/2019
2631,AGENCE TANZANIE           ,M,1/1/1989,RETAIL                        ,RW,6/29/2012,2/26/2014
2632,AGENCE TANZANIE           ,M,9/6/1987,RETAIL                        ,RW,2/11/2014,7/1/2019
2633,AGENCE TANZANIE           ,C,1/1/1900,RETAIL                        ,RW,4/22/2019,7/15/2019
2634,AGENCE TANZANIE           ,M,8/20/1984,RETAIL                        ,RW,2/10/2017,2/12/2018
2635,AGENCE TANZANIE           ,M,8/18/1978,RETAIL                        ,RW,4/11/2016,8/8/2016
2636,AGENCE TANZANIE           ,M,1/21/1993,RETAIL                        ,RW,9/10/2012,2/26/2014
2637,AGENCE TANZANIE           ,C,1/1/1900,RETAIL                        ,RW,9/23/2016,5/27/2019
2638,AGENCE TANZANIE           ,M,1/1/1969,RETAIL                        ,RW,11/11/2013,11/27/2015
2639,AGENCE TANZANIE           ,M,7/21/1963,RETAIL                        ,VG,8/25/2016,6/3/2019
2640,AGENCE TANZANIE           ,M,1/1/1977,RETAIL                        ,RW,8/2/2016,11/26/2018
2641,AGENCE TANZANIE           ,M,9/16/1996,RETAIL                        ,RW,8/2/2018,2/13/2019
2642,AGENCE TANZANIE           ,C,1/1/1900,RETAIL                        ,RW,4/2/2019,6/27/2019
2643,AGENCE TANZANIE           ,M,1/8/1979,RETAIL                        ,RW,8/23/2012,2/26/2014
